TIMESTAMP X(mg) Y(mg) Z(mg)
805151438745043072 -1125 214 374
805151438821378816 -1021 140 114
805151438897714560 -1034 117 104
805151438974050304 -1034 118 74
805151439050386048 -1010 135 76
805151439126721920 -1035 111 50
805151439203057664 -1034 78 118
805151439279393408 -1026 121 38
805151439355729152 -1030 110 81
805151439432064896 -1028 127 53
805151439508400746 -1025 119 40
805151439584736384 -1014 132 10
805151439661072000 -1004 206 -41
805151439737407616 -1035 142 41
805151439813743232 -1075 127 88
805151439890078848 -1032 270 -54
805151439966414464 -1020 193 -75
805151440042750080 -1017 193 -32
805151440119085696 -1029 169 -43
805151440195421312 -1016 194 -37
805151440271756928 -1023 157 -34
805151440348092544 -1027 150 -17
805151440424428288 -1034 121 -21
805151440500763904 -1026 119 -36
805151440577099520 -1010 45 -21
805151440653435136 -1028 109 -55
805151440729770752 -1013 88 -104
805151440806106368 -924 306 -619
805151440882441984 -1029 93 -72
805151440958777600 -1020 -30 66
805151441035113216 -1025 38 22
805151441111448832 -1038 45 11
805151441187784448 -1029 77 26
805151441264120064 -1039 71 23
805151441340455680 -1026 65 40
805151441416791296 -1033 65 33
805151441493126912 -1026 76 56
805151441569462528 -1029 86 35
805151441645798144 -1024 106 42
805151441722133760 -1030 90 37
805151441798469376 -1030 76 -39
805151441874804992 -1029 63 37
805151441951140608 -1022 90 18
805151442027476224 -1045 35 15
805151442103811968 -1030 77 25
805151442180147584 -1030 60 -2
805151442256483200 -1042 39 6
805151442332818816 -1032 56 -15
805151442409154432 -1023 82 -23
805151442485490048 -1034 65 0
805151442561825664 -1033 92 -19
805151442638161280 -1031 94 -21
805151442714496896 -1032 75 -9
805151442790832512 -1033 77 -31
805151442867168128 -1031 92 -23
805151442943503744 -1030 97 -38
805151443019839360 -1026 98 -44
805151443096174976 -1029 98 -26
805151443172510592 -1035 92 -49
805151443248846208 -1027 114 -59
805151443325181824 -1033 120 -10
805151443401517440 -1026 120 -48
805151443477853056 -1031 103 -33
805151443554188672 -1038 96 24
805151443630524288 -1033 104 19
805151443706860032 -1032 118 24
805151443783195648 -1031 106 18
805151443859531264 -1034 102 33
805151443935866880 -1036 97 23
805151444012202496 -1037 86 -5
805151444088538112 -1030 97 25
805151444164873728 -1031 116 43
805151444241209344 -1027 127 19
805151444317544960 -1033 97 -10
805151444393880576 -1036 77 -42
805151444470216192 -1032 72 -45
805151444546551808 -1029 68 -51
805151444622887424 -1029 66 -50
805151444699223040 -1031 80 -21
805151444775558656 -1037 75 25
805151444851894272 -1029 91 5
805151444928229888 -1034 91 36
805151445004565504 -1034 83 19
805151445080901120 -1023 109 29
805151445157236772 -1037 93 20
805151445233572096 -1032 78 -4
805151445309907456 -1038 53 -5
805151445386242816 -1038 68 -11
805151445462578176 -1031 114 22
805151445538913536 -1022 149 21
805151445615248896 -1031 117 19
805151445691584384 -1042 75 19
805151445767919744 -1037 79 1
805151445844255104 -1031 99 -17
